Description,Meaning,Source,Type
도둑질을 해도 손발이 맞아야 한다,무슨 일이든지 두 편에서 서로 뜻이 맞아야 이루어질 수 있다는 말. <동의 속담> ‘두 손뼉이 맞아야 소리가 난다’,우리말샘,속담
도랑물이 소리를 내지 깊은 호수가 소리를 낼가,속에 든 것이 없는 사람일수록 더 아는 체하고 떠듦을 비유적으로 이르는 말.,표준국어대사전,속담
도랑에 든 소,"도랑에 든 소는 양쪽 둔덕의 풀을 뜯어먹을 수 있다는 뜻으로, 먹을 것이 많아 유복한 처지에 있는 경우를 비유적으로 이르는 말. (=개천에 든 소.)",고려대 한국어대사전,속담
도륙 나다,(사람이) 함부로 마구 도륙 당하는 일이 벌어지다.,고려대 한국어대사전,관용구
도륙 내다,(어떤 사람이 다른 사람을) 함부로 마구 도륙하다.,고려대 한국어대사전,관용구
도마 위의 고기가 칼을 무서워하랴,죽음을 이미 각오한 사람이 무엇이 무섭겠냐는 말.,표준국어대사전,속담
도장 찍히다,어떤 사실이나 흔적이 뚜렷이 드러나다.,표준국어대사전,관용구
도적 간 뒤에 활쏘기다,이미 실패한 뒤에야 깨닫고 대비하는 것은 아무 소용없다는 말.,고려대 한국어대사전,속담
도적고양이 범 물어 간 것만 하다,[같은 속담] 미친개 범 물어 간 것 같다.,표준국어대사전,속담
도적고양이 제상에 오른다,"도적고양이가 밉살스럽게 제물을 탐내서 제상 위에 뛰어오른다는 뜻으로, 못된 자가 버릇없는 짓을 함부로 함을 비유적으로 이르는 말.",표준국어대사전,속담
도적놈 도망간 뒤에 몽둥이 들고 나선다,일이 다 틀어진 뒤에야 때늦게 소용없이 돌아침을 비유적으로 이르는 말.,표준국어대사전,속담
도적놈에게 지게 지우는 격,‘도둑에게 열쇠 준다’의 북한 속담.,표준국어대사전,속담
도적을 잡으려면 먼저 그 두목을 잡아야 한다,무슨 일이든 제대로 하려면 그 핵심을 먼저 다루어야 함을 비유적으로 이르는 말.,고려대 한국어대사전,속담
도적의 때는 아무 때건 벗는다,억울하게 누명을 쓰더라도 언젠가는 사실이 밝혀져 그 누명을 벗을 수 있게 된다는 말.,표준국어대사전,속담
도적이 돈을 빼앗지 못하면 주인 뺨이라도 때리고 뛴다,도둑은 결코 그냥 물러서는 법이 없고 반드시 해로운 일을 하고야 만다는 것을 비유적으로 이르는 말.,표준국어대사전,속담
도적이 주인더러 밥 잡수 한다,"도적이 주인처럼 제 마음대로 행동하면서 오히려 주인더러 ‘그 밥 잡수우.’ 한다는 뜻으로, 잘못을 저지른 자가 매우 뻔뻔스럽게 행동함을 비유적으로 이르는 말.",표준국어대사전,속담
도척의 개 범 물어 간 것 같다,"도척의 개를 범이 물어 간 것처럼 시원하다는 뜻으로, 싫어하는 사람이 잘못되거나 불행하여지는 것을 보고 매우 통쾌하게 여기거나 기뻐함을 이르는 말.",표준국어대사전,속담
도토리 키 재기〔다툼〕,"정도가 고만고만한 사람끼리 서로 다툼을 이르는 말. (=건시나 감이나, 난쟁이끼리 키 자랑하기, 대동소이(大同小異).)",고려대 한국어대사전,속담
도토리는 벌방을 내려다보면서 열린다,"농사가 잘되는 때에는 도토리도 많이 열림을 비유적으로 이르는 말.,도토리는 산에서 벌을 내려다보고 벌이 풍년이면 안 열리고 벌이 흉년이면 잘 열린다는 말.",표준국어대사전,속담
독 들이다,어떤 목적을 실현하려고 독한 마음을 먹다.,표준국어대사전,관용구
독 안에 든 쥐,궁지에서 벗어날 수 없는 처지를 비유적으로 이르는 말.,표준국어대사전,관용구
독 안에 들다,이미 잡힌 것이나 다름없다.,표준국어대사전,관용구
독 안에서 소리치기,평소에 남이 보지 않는 곳에서나 큰소리치고 잘난 척함을 비유적으로 이르는 말.,표준국어대사전,속담
독 안에서 푸념,"남이 들을까 봐 몰래 푸념한다는 뜻으로, 마음이 옹졸하여 하는 짓이 답답함을 이르는 말.,속이 음흉하여 무슨 짓을 할지 모르겠다는 말.",표준국어대사전,속담
독 올리다,독에 감염이 되도록 하다.,우리말샘,관용구
독 지고 당나귀 탄 것 같다,안정감이 없이 매우 불안하고 위태로워 보이는 상황을 비유적으로 이르는 말.,표준국어대사전,속담
독 틈에도 용소가 있다,"독 틈에도 깊은 웅덩이가 있다는 뜻으로, 무슨 일에든지 남을 속이려 하는 수작이 있으니 조심해야 한다는 말.",표준국어대사전,속담
독 틈에서 쥐 잡기,"독과 독 사이에 숨어 있는 쥐를 잡으려다가 독을 깨뜨릴 수 있다는 뜻으로, 어떤 작은 성과를 내려다가 큰 손실을 볼 수 있는 위태로운 일을 함을 비유적으로 이르는 말.",표준국어대사전,속담
독살 부리다,(사람이) 모질고 독한 성미로 남을 저주하다.,고려대 한국어대사전,관용구
독살 피우다,(사람이) 사납고 모진 살기를 나타내다.,고려대 한국어대사전,관용구
독수공방에 정든 님 기다리듯,"홀로 빈방을 지키며 사랑하는 사람이 오기만을 기다린다는 뜻으로, 무엇인가를 간절히 바라는 모양을 비유적으로 이르는 말.",표준국어대사전,속담
독수리 본 닭 구구 하듯,"독수리를 본 닭이 겁을 먹고 돌아다니는 것과 같다는 뜻으로, 위험이 닥쳤을 때 겁에 질려 어쩔 줄 모르는 모양을 비유적으로 이르는 말.",고려대 한국어대사전,속담
독아지 속에 갇힌 시앙쥐,(전북),전라북도 방언사전,관용구
독장수구구는 독만 깨뜨린다,실현성이 없는 허황된 계산은 도리어 손해만 가져온다는 말.,표준국어대사전,속담
돈 놓고는 못 웃어도 아이 놓고는 웃는다,"많은 재물을 가진 사람은 도둑을 걱정하여 웃을 수 없으나 아이를 가진 자는 그 재롱에 늘 웃을 수 있다는 뜻으로, 재물보다 자식이 더 소중하다는 말.",표준국어대사전,속담
돈 다음에 나온 놈,"돈이 나오자 뒤따라 나온 사람이라는 뜻으로, 돈밖에 모르는 인색한 자를 욕으로 하는 말.",표준국어대사전,속담
돈 모아 줄 생각 말고 자식 글 가르쳐라,자식을 위하는 가장 좋은 유산은 교육을 잘 시키는 일임을 강조하는 말.,표준국어대사전,속담
돈 없는 놈이 선가 먼저 물어본다,자격을 갖추지 못한 자가 도리어 먼저 나댈 때 이르는 말. <동의 속담> ‘돈 한 푼 없는 놈이 자두치떡만 즐긴다’ ‘돈 없는 놈이 큰 떡 먼저 든다’,우리말샘,속담
돈 없는 놈이 큰 떡 먼저 든다,자격을 갖추지 못한 자가 도리어 먼저 나댈 때 이르는 말.,표준국어대사전,속담
돈 주고 못 살 것은 기개,의지와 기개가 있는 사람은 재물에 팔려 행동하지 아니함을 이르는 말.,우리말샘,속담
돈 주고 못 살 것은 지개라,"의지와 기개가 있는 사람은 재물에 팔리지 않는다는 말.,아무리 돈과 힘이 있다 해도 의지와 기개는 살 수 없다는 말.",고려대 한국어대사전,속담
돈 주다,(사람이) 판에 던진 돈 가운데 맞힐 것을 손가락으로 가리키다.,고려대 한국어대사전,관용구
돈 한 푼 없는 놈이 자두치떡만 즐긴다,자격을 갖추지 못한 자가 도리어 먼저 나댈 때 이르는 말. <동의 속담> ‘돈 없는 놈이 선가 먼저 물어본다’ ‘돈 없는 놈이 큰 떡 먼저 든다’,우리말샘,속담
돈낟가리를 쌓다,도저히 실현될 수 없는 재물을 꿈꾸는 공상을 하다.,표준국어대사전,관용구
돈낟가리에 앉다,‘돈더미에 올라앉다’의 북한 관용구.,우리말샘,관용구
돈더미에 깔리다,(속되게) 매우 많은 돈을 벌게 되다.,우리말샘,관용구
돈만 있으면 개도 흉한 짓을 한다,천한 사람도 돈만 있으면 다른 사람들이 귀하게 대접함을 비유적으로 이르는 말.,표준국어대사전,속담
돈만 있으면 귀신도 부릴 수 있다,돈만 있으면 세상에 못 할 일이 없다는 말. <동의 속담> ‘돈만 있으면 귀신도 사귄다’,우리말샘,속담
돈만 있으면 귀신도 부릴〔사귈〕 수 있다,"돈이라면 안되는 일이 없다는 말. (=돈을 주면 뱃속의 아이도 기어나온다, 돈이면 나는 새도 떨어진다, 돈이면 지옥문도 연다.)",고려대 한국어대사전,속담
돈만 있으면 귀신도 사귄다,돈만 있으면 세상에 못 할 일이 없다는 말. <동의 속담> ‘돈만 있으면 귀신[두억시니]도 부릴 수 있다’,우리말샘,속담
돈벌이를 배운 사람은 돈 버는 짓을 잘 한다,젊어서부터 상공업에 종사한 사람은 돈을 잘 번다는 말.,고려대 한국어대사전,속담
돈벼락 맞다,"(사람이) 갑자기 한꺼번에 많은 돈이 생기다. (=돈더미에 올라앉다, 돈방석에 앉다.)",고려대 한국어대사전,관용구
돈에 범 없다,"돈만 있으면 호랑이도 두렵지 않다는 뜻으로, 돈이 제일이라는 말.",고려대 한국어대사전,속담
돈은 도적맞을 수 있어도 땅은 도깨비도 떠메고 갈 수 없다,땅이 가장 안전하고 없어질 걱정이 없는 재산이라는 것을 비유적으로 이르는 말.,표준국어대사전,속담
돈은 있다가도 없어지고 없다가도 생기는 법이라,재물은 돌고 도는 것이므로 재물을 가지고 상대를 평가하는 것은 어리석은 일이라는 말.,표준국어대사전,속담
돈을 까먹다,(사람이) 이익을 내기 위해 모아 둔 자금으로 오히려 적자를 내다.,고려대 한국어대사전,관용구
돈을 뿌리다,"(사람이) 돈을 아낌없이 마구 쓰다.,(어떤 사람이 다른 사람에게) 뇌물을 주다.",고려대 한국어대사전,관용구
돈이 나오냐 밥이 나오냐,무슨 소용이 있느냐는 말.,고려대 한국어대사전,관용구
돈이 돌다,소비와 생산이 잘 이루어져 돈의 유통이 활발하다.,고려대 한국어대사전,관용구
돈이 많으면 장사를 잘하고 소매가 길면 춤을 잘 춘다,모든 일이 잘되려면 그 소재가 좋고 풍족하여야 함을 비유적으로 이르는 말.,표준국어대사전,속담
돈이 썩어나다,(사람이) 사치를 하거나 돈이 다 쓰지 못할 정도로 많다.,고려대 한국어대사전,관용구
돈이 양반이라,돈이 있어야 의젓하게 양반 행세를 할 수 있다는 말.,고려대 한국어대사전,속담
돈이라면 산 호랑이 눈썹이라도 빼 온다,돈이 생기는 일이라면 아무리 어렵고 위험한 일이라도 무릅쓴다는 말.,고려대 한국어대사전,속담
돈이면 지옥문도 연다,"돈만 있으면 어떤 일이든 할 수 있다는 말. (=돈만 있으면 귀신도 부릴 수 있다, 돈을 주면 뱃속의 아이도 기어나온다, 돈이면 나는 새도 떨어진다.)",고려대 한국어대사전,속담
돈키가 높다,빚진 돈의 양이 매우 많다.,우리말샘,관용구
돈피 옷 잣죽에 자랐느냐,"생활을 매우 호사스럽게만 하려고 하는 것을 비유적으로 이르는 말.,기혈(氣血)이 약한 것을 비유적으로 이르는 말.",표준국어대사전,속담
돌 뚫는 화살은 없어도 돌 파는 낙수는 있다,"세게 내쏘는 화살은 돌을 뚫지 못하지만 오랫동안 쉼 없이 떨어지는 물(落水)은 마침내 돌을 파서 움푹하게 만든다는 뜻으로, 무슨 일이나 오랫동안 꾸준히 하면 결국 성공할 수 있다는 말.",고려대 한국어대사전,속담
돌 뚫는 화살은 없어도 돌 파는 락수는 있다,"세게 내쏘는 화살은 돌을 뚫지는 못하지만 여러 해를 두고 쉼 없이 떨어지는 낙수는 마침내 돌을 파서 움푹하게 만든다는 뜻으로, 무슨 일이나 오래도록 꾸준히 하면 결국 성공할 수 있음을 비유적으로 이르는 말.",표준국어대사전,속담
돌 잡히다,돌이 되는 달에 이르다.,우리말샘,관용구
돌담 배 부른 것,도무지 유용한 데는 없고 해만 끼치는 존재를 비유적으로 이르는 말.,표준국어대사전,속담
돌로 치면 돌로 치고 떡으로 치면 떡으로 친다,남이 나를 대하는 것만큼 나도 남을 그만큼밖에는 대접하지 아니한다는 것을 비유적으로 이르는 말.,표준국어대사전,속담
돌배도 맛 들일 탓,처음에는 싫다가도 차차 재미를 붙이고 정을 들이면 좋아질 수도 있다는 것을 비유적으로 이르는 말.,표준국어대사전,속담
돌부처가 웃다가 배꼽이 떨어지겠다,너무 황당하거나 어처구니없는 경우를 비유적으로 이르는 말. (=돌미륵이 웃을 노릇.),고려대 한국어대사전,속담
돌부처도 꿈적인다,남편이 첩을 보면 아무리 무던한 아내도 화를 낸다는 말. (=시앗을 보면 길가의 돌부처도 돌아앉는다.),고려대 한국어대사전,속담
돌부처보고 아이 낳아 달란다,도저히 실현되지 않을 대상이나 사물에게 무리한 것을 소망하는 어리석은 일을 비유적으로 이르는 말.,고려대 한국어대사전,속담
돌에도 나무에도 댈 데 없다,‘나무에도 못 대고 돌에도 못 댄다’의 북한 속담.,표준국어대사전,속담
돌을 던지다,"(사람이) 자신의 패배를 인정하고 두기를 끝내다.,(어떤 사람이 다른 사람에게) 잘못을 비난하다.",고려대 한국어대사전,관용구
돌을 들어 제 발등을 깬다,"공연히 돌을 들어 놓치는 바람에 제 발등을 깨게 된다는 뜻으로, 자기 잘못으로 일을 망치는 경우를 비유적으로 이르는 말.",표준국어대사전,속담
돌을 들어서 낯이 붉어진다,"무거운 돌을 들면 힘을 쓰게 되어 자연히 얼굴이 붉게 된다는 뜻으로, 무엇이든지 원인이 있으면 그에 따르는 결과가 나타나게 됨을 이르는 말. (=드는 돌에 낯 붉는다.)",고려대 한국어대사전,속담
돌을 잡히다,아이의 첫돌을 즐겨 그날에 여러 가지 먹을 것과 물건을 차려 놓고 그 아이로 하여금 마음대로 집게 하다.,우리말샘,관용구
돌절구도 밑 빠질 날이 있다,"아무리 튼튼한 것이라 할지라도 오래 쓰면 결딴나는 날이 있다는 말.,명문거족(名門巨族)이라고 영원히 몰락하지 않는 법은 없다는 말.",고려대 한국어대사전,속담
돌절구도 밑 빠질 때가 있다,"아무리 튼튼한 것이라도 영구불변한 것은 없다는 말.,명문거족이라도 영원히 몰락하지 않는 법은 없다는 말.",표준국어대사전,속담
돌쩌귀에 불이 나겠다,"문을 자주 여닫는다는 뜻으로, 사람이 많이 드나듦을 비유적으로 이르는 말.",표준국어대사전,속담
돌총 놓다,무엇을 때리거나 깨기 위하여 돌을 마구 내던지다.,표준국어대사전,관용구
돗자리 말듯 하다,무슨 일을 시원스럽게 해치우다.,표준국어대사전,관용구
동 대다,"도중에 떨어지지 아니하게 계속 잇대다.,말 따위를 조리에 맞게 하다.",표준국어대사전,관용구
동기간 싸움은 칼로 물 베기,형제간의 싸움은 칼로 물을 베듯이 언제 싸웠냐는 듯이 곧 화해함을 비유적으로 이르는 말.,고려대 한국어대사전,속담
동냥 가다,"（귀, 눈, 손 따위의 말과 함께 흔히 의문문으로 쓰여） 제대로 듣고 보지 못하거나 손을 놀리기 싫어하는 사람을 타박하는 말.",우리말샘,관용구
동냥아치 쪽박 깨진 셈,"동냥하는 데는 쪽박이 꼭 있어야 하는 데 그것이 깨졌다는 뜻으로, 먹고사는 데 쓰는 유일한 기술이나 연장이 못 쓰게 된 경우를 비유적으로 이르는 말.,일에 실패하여 마지막 희망마저 잃게 된 경우를 이르는 말.",고려대 한국어대사전,속담
동냥아치 첩도 제멋에 한다,세상 사람들이 다 좋다고 하는 일은 아니하고 나쁘다고 하는 일만 하는 사람을 보고 하는 말.,표준국어대사전,속담
동냥은 안 주고 쪽박만 깬다,요구하는 것은 안 주고 도리어 방해만 한다는 말.,표준국어대사전,속담
동냥자루도 제멋에 찬다,"모든 사람이 천시하는 동냥질도 제가 하고 싶어서 한다는 말.,세상 사람들이 다 좋다고 하는 일은 아니하고 나쁘다고 하는 일만 하는 사람을 보고 하는 말.",표준국어대사전,속담
동냥치 첩도 제멋에 취한다,세상 사람들이 다 좋다고 하는 일은 아니하고 나쁘다고 하는 일만 하는 사람을 보고 하는 말.,표준국어대사전,속담
동냥하려다가 추수 못 본다,작은 것을 탐내고 다니다가 큰 것을 놓치게 된다는 말.,고려대 한국어대사전,속담
동네 개 짖는 소리,남이 하는 말을 무시하여 들은 체도 아니함을 비유적으로 이르는 말.,표준국어대사전,속담
동네 색시 믿고 장가 못 든다,"막연하게 믿는 구석을 생각하다가 낭패를 보는 일을 비유적으로 이르는 말. (=누이 믿고 장가 안 간다, 앞집 처녀 믿다가 장가 못 간다, 이웃집 색시 믿고 장가 못 든다.)",고려대 한국어대사전,속담
동네 의원 용한 줄 모른다,"대체로 가까운 데의 것은 신통치 않게 생각됨을 비유적으로 이르는 말. (=동네 무당 영하지 않다, 이웃집 무당 영하지 않다.)",고려대 한국어대사전,속담
동네가 구열하면 소를 잡아먹고 집단이 구열하면 닭을 잡아먹는다,"동네가 화목하면 말썽 없이 소를 잡아먹을 수 있고 집단이 화목하면 닭을 잡아먹을 수 있다는 뜻으로, 사람들이 단합하여 화목하게 지내는 것이 중요함을 비유적으로 이르는 말.",표준국어대사전,속담
동녘이 번하니까 다 내 세상인 줄 안다,세상 물정 모르고 무슨 일이나 다 좋게만 될 것으로 과대망상을 하고 있다는 말.,표준국어대사전,속담
동녘이 훤하면 세상〔새벽〕인 줄 안다,"급하고 바쁜 세상의 변천은 모르고 날이 새면 낮이고 해가 지면 밤인 것만 아는 미련하고 답답한 사람을 비꼬아 이르는 말.,세상 물정 모르고 무슨 일이나 다 좋게만 될 것으로 과대망상을 하는 경우를 비유적으로 이르는 말.",고려대 한국어대사전,속담
동무 사나워 뺨 맞는다,성미가 좋지 않거나 손버릇이 나쁜 친구와 함께 있다가 남에게 추궁받는 서슬에 자기도 함께 욕을 당한다는 말.,표준국어대사전,속담
동방삭이 밤 깎아 먹듯,"불로장생하였다는 동방삭도 급하고 귀찮으면 밤을 반만 깎아 먹었다는 말에서, 조급하여 어떤 일을 반만 하다 마는 경우를 이르는 말.",표준국어대사전,속담
동방화촉 노 도령이 숙녀 만나 즐거운 일,매우 즐거운 일이라는 말. (=천리 타향 고인 만나 반가워서 즐거운 일.),고려대 한국어대사전,속담
동방화촉 노도령이 숙녀 만나 즐거운 일,이를 데 없이 몹시 기뻐함을 비유적으로 이르는 말. <동의 속담> ‘칠십 노인 구 대 독자 생남을 한 듯’ ‘천 리 타향 고인 만나 반가워서 즐거운 일’,우리말샘,속담
동생 줄 것은 없어도 도둑 줄 것은 있다,"가난하여 제 손으로 남에게 줄 것은 없어도 도둑이 가져갈 만한 것은 있는 법이라는 말.,인색하여 제 동생에게 주는 것조차 아까워하는 사람도 도둑이 빼앗아 가는 것은 막을 수 없다는 말.",고려대 한국어대사전,속담
동성아주머니 술도 싸야 사 먹지,아무리 친근한 사이라도 이익이 있어야 관계하게 됨을 비유적으로 이르는 말.,표준국어대사전,속담
동아 속 썩는 것은 밭 임자도 모른다,남의 속 걱정은 아무리 가깝게 지내는 사람도 알 수가 없음을 비유적으로 이르는 말.,표준국어대사전,속담
동의 일 하라면 서의 일 한다,말을 잘 알아듣지 못하여 딴전만 부린다는 말.,표준국어대사전,속담
동정 못 다는 며느리 맹물 발라 머리 빗는다,"부뚜막에 땜질 하나 제대로 못 하여 너절하게 하고 사는 며느리가 그래도 모양을 내겠다고 이마의 털만 뽑고 있다는 뜻으로, 일을 할 줄 모르는 주제에 멋만 부리는 밉살스러운 행동을 비꼬는 말.",표준국어대사전,속담
동정호 칠백 리를 내 당나귀 타고 간다,자기의 세력이 미치는 곳에서 자기 마음대로 행동함을 비유적으로 이르는 말.,표준국어대사전,속담
동지 때 개딸기,이미 철이 지나서 도저히 얻을 수 없는 것을 바란다는 말.,고려대 한국어대사전,속담
동지 지나 열흘이면 해가 소 누울 자리만큼 길어진다,동지가 지나면 낮 시간이 길어지고 밤 시간이 짧아진다는 말.,표준국어대사전,속담
돝 팔아 한 냥 개 팔아 닷 돈 하니 양반인가,양반을 놀림조로 이르는 말. (=양반 양반 두 양반.),고려대 한국어대사전,속담
돼지 값은 칠 푼이요 나뭇값은 서 돈이다,주된 것보다 부차적인 것이 오히려 비용이 더 많이 듦을 비유적으로 이르는 말.,표준국어대사전,속담
돼지가 깃을 물어 들이면 비가 온다,둔하고 미련한 사람의 직감이 들어맞음을 비유적으로 이르는 말.,표준국어대사전,속담
돼짓값은 칠 푼이요 나뭇값은 서 돈이다,주된 것보다 부차적인 것이 오히려 비용이 더 많이 듦을 비유적으로 이르는 말. <동의 속담> ‘한 푼짜리 푸닥거리에 두부가 오 푼’,우리말샘,속담
되는 것도 안 되는 것도 없다,옳은 방법으로 하는 일은 안되고 부정한 방법으로는 안되는 일이 없는 어지러운 세상을 이르는 말.,표준국어대사전,관용구
되로 주고 말로 받는다,조금 주고 그 대가로 몇 곱절이나 많이 받는 경우를 비유적으로 이르는 말.,표준국어대사전,속담
되잡아 흥,나무람을 들을 사람이 도리어 남을 나무라다.,표준국어대사전,관용구
되잡아 흥이다,(사람이) 나무람을 들어야 할 상황에서 도리어 남을 나무라다. (=되짚어 흥이다.),고려대 한국어대사전,관용구
되짚어 흥,나무람을 들을 사람이 도리어 남을 나무라다.,표준국어대사전,관용구
되짚어 흥이다,(사람이) 나무람을 들어야 할 상황에서 도리어 남을 나무라다. (=되잡아 흥이다.),고려대 한국어대사전,관용구
된벼락 맞다,몹시 호된 타격을 받다.,표준국어대사전,관용구
된불 맞다,"(사람이) 급소에 정통으로 총알을 맞다.,(사람이) 매우 심한 타격을 입다. (=된서리(를) 맞다, 서리(를) 맞다.)",고려대 한국어대사전,관용구
된서방 맞다,몹시 어렵고 까다로운 일을 당하다. <동의 관용구> ‘된서방에 걸리다’,우리말샘,관용구
된서방 맞다〔만나다〕,(사람이) 몹시 까다롭고 모진 일을 당하다.,고려대 한국어대사전,관용구
될 수 있는 대로,가능한 한 최대로.,표준국어대사전,관용구
될 수 있으면,가능한 한.,표준국어대사전,관용구
두 계집 둔 놈의 똥은 개도 안 먹는다,첩을 둔 자의 마음은 몹시 괴로워 속이 썩는다는 말.,표준국어대사전,속담
두 길마 보다,어느 한쪽이 잘못되더라도 자기에게 불리하게 되지 아니하도록 두 쪽에 다 관계를 가지고 살펴보다.,표준국어대사전,관용구
두 눈에서 불이 번쩍 나게,두 눈에서 불이 일도록 날래거나 예리하게.,표준국어대사전,관용구
두 눈의 부처가 발등걸이 했다,"눈동자에 비치어 나타난 사람의 형상이 발등걸이를 했다는 뜻으로, 눈이 뒤집혔다는 말.",표준국어대사전,속담
두 눈이 꿀단지 같다,매우 놀랄 만한 것을 보거나 긴장하여 두 눈이 커지다.,표준국어대사전,관용구
두 볼에 밤을 물다,마땅치 아니하거나 성이 나서 뾰로통한 모양을 이르는 말.,표준국어대사전,속담
두 선을 틀어쥐다,일을 해 나가는 데 있어서 중요한 두 고리를 어느 하나도 놓치지 아니하고 함께 풀어 나가다.,우리말샘,관용구
두 소경 한 막대 짚고 걷는다,어리석은 두 사람이 같은 잘못을 저지르는 경우를 비유적으로 이르는 말.,표준국어대사전,속담
두 손 두 발  들다,‘두 손(을) 들다’를 강조하여 이르는 말.,표준국어대사전,관용구
두 손 들다,"자기 능력에서 벗어나 그만두다.,전적으로 환영하거나 찬성하다.",표준국어대사전,관용구
두 손 맞잡고 앉다,(사람이) 아무 일도 하지 않고 가만히 있다.,고려대 한국어대사전,관용구
두 손 털고 나서다,(사람이) 가지고 있던 것을 다 잃고 남은 것 없이 물러나다.,고려대 한국어대사전,관용구
두 수 보다,"장기나 바둑에서, 한 번 수를 쓸 때 두 번 써서 얻는 수를 내다보다.,하나를 통하여 두 곳에서 이익을 보거나 잇따라 두 번 이익을 보다.",표준국어대사전,관용구
두견새 알을 꾀꼬리에게 깨이듯,제 일을 자신이 하지 않고 누군가에게 의존해서 함을 비유적으로 이르는 말.,고려대 한국어대사전,속담
두견이 목에 피 내어 먹듯,남에게 억울한 일이나 못 할 짓을 하여 재물을 빼앗음을 이르는 말.,표준국어대사전,속담
두고 보다,어떤 결과가 될지를 일정 기간 동안 살펴보다.,표준국어대사전,관용구
두고 보자는 건 무섭지 않다,당장에 화풀이를 하지 못하고 두고 보자는 사람은 두려울 것이 없다는 말.,표준국어대사전,속담
두고도 못 먹는 전라도 곡식,[같은 속담] 보고도 못 먹는 전라도 곡식.,표준국어대사전,속담
두더지는 나비가 못 되라는 법 있나,다른 사람이 상상하지 못하는 전혀 뜻밖의 상황도 일어날 수 있음을 비유적으로 이르는 말.,우리말샘,속담
두덩에 누운 소,아무 일도 하지 않으면서 편하게 놀고 지내는 팔자를 비유적으로 이르는 말. (=두렁에 누운 소.),고려대 한국어대사전,속담
두렁에 누운 소,편하여 팔자가 좋다는 말.,표준국어대사전,속담
두렁에 든 소,"도랑 양편에 우거진 풀을 다 먹을 수 있는 소라는 뜻으로, 이리하거나 저리하거나 풍족한 형편에 놓인 사람 또는 그런 형편을 비유적으로 이르는 말.",표준국어대사전,속담
두말 못 하다,더 이상은 이렇다 저렇다 말하지 못하고 기죽어 있다.,표준국어대사전,관용구
두말할 필요 없다,(상황 따위가) 너무나 자명하여 구태여 더 보탤 여지가 없다. (=두말할 나위(가) 없다.),고려대 한국어대사전,관용구
두메 앉은 이방이 조정 일 알듯,출입 없이 집에만 있는 사람(吏房)이 바깥세상(朝廷) 일을 잘 안다는 말.,고려대 한국어대사전,속담
두메로 꿩 사냥 보내 놓고,당장 닥친 일은 어떻게든지 해 놓고 보자고 하는 것을 이르는 말.,표준국어대사전,속담
두벌자식이 더 곱다,아들보다 손자가 더 귀여움을 이르는 말.,표준국어대사전,속담
두부살에 바늘뼈,"바늘처럼 가는 뼈에 두부같이 힘없는 살이란 뜻으로, 몸이 아주 연약한 사람을 비유적으로 이르는 말.",표준국어대사전,속담
두었다가 국 끓여 먹겠느냐,써야 할 것을 쓰지 아니하고 너무 아껴 두기만 함을 놀림조로 이르는 말.,표준국어대사전,속담
둔한 말이 열 수레를 끈다,미련하고 둔한 사람이라 하더라도 쉬지 않고 노력하면 큰일을 할 수 있다는 말.,고려대 한국어대사전,속담
둔한 사람은 아는 이에게 배워야 하며 무딘 칼은 숫돌에 갈아야 한다,무딘 칼은 잘 갈아야 쓸 수 있듯이 둔한 사람일수록 더 많이 배워야 한다는 말.,고려대 한국어대사전,속담
둘이 똑같아야 싸움도 하게 된다,"양쪽의 힘이나 조건이 똑같아야 싸움이 이루어지지, 양쪽의 힘이나 조건이 너무 차이가 날 때에는 싸움이 이루어질 수 없음을 이르는 말.",우리말샘,속담
둘이 먹다 하나 죽어도 모르겠다,음식이 아주 맛있음을 이르는 말. <동의 속담> ‘셋이 먹다가 둘이 죽어도 모른다’,우리말샘,속담
둥근 돌은 구르나 모난 돌은 박힌다,성격이 원만한 사람은 재물을 지키지 못하지만 성미가 급하고 야무진 사람은 재물을 야무지게 지킨다는 말.,고려대 한국어대사전,속담
뒤 구리다,숨겨 둔 약점이나 잘못이 있다.,표준국어대사전,관용구
뒤 마려운 년 국거리 썰 듯하다,자신의 일이 급해 일을 아무렇게나 함부로 한다는 말.,고려대 한국어대사전,속담
뒤 보고 밑 닦을 틈도 없다,아주 바쁘다는 말.,고려대 한국어대사전,속담
뒤 뿔만 친다,능력이 없어서 남의 밑에서 고생만 하는 경우를 비유적으로 이르는 말.,고려대 한국어대사전,속담
뒤가 구리다,(사람이) 숨겨 둔 약점이나 잘못이 있다.,고려대 한국어대사전,관용구
뒤가 드러나다,비밀로 하거나 숨긴 일이 나타나거나 알려지다.,표준국어대사전,관용구
뒤가 무사하다,어떤 일의 뒤끝에 대하여 걱정할 만한 것이 전혀 없거나 걱정을 하지 않아도 되다.,표준국어대사전,관용구
뒤가 저리다,(사람이) 자신의 말이나 행동이 잘못될까 조마조마하거나 두려운 느낌이 있다.,고려대 한국어대사전,관용구
뒤도 안 돌아보고 간다,아무 미련도 없이 떠난다는 말.,고려대 한국어대사전,속담
뒤로 넘어져도 코가 깨진다,일이 안되려면 좋지 않은 일만 연거푸 생긴다는 말.,고려대 한국어대사전,속담
뒤로 오는 호랑이는 속여도 앞으로 오는 팔자는 못 속인다,이미 정하여진 팔자는 모면을 하기가 매우 어렵다는 말.,표준국어대사전,속담
