Description,Meaning,Source,Type
가랑잎에 떨어진 좁쌀알 찾기,"쌓이고 쌓인 가랑잎 속으로 떨어진 좁쌀알을 찾기란 매우 어려운 데서, 찾아내기가 몹시 어려움을 비유적으로 이르는 말.",표준국어대사전,속담
가랑잎으로 눈 가리고 아웅 한다,얕은수로 남을 속이려 한다는 말.,표준국어대사전,속담
가랑잎으로 눈 가리기,"자기의 존재나 허물을 숨기려고 미련하게 애쓰는 경우를 비유적으로 이르는 말.,미련하여 아무리 애써도 제대로 일 처리를 하지 못함을 비유적으로 이르는 말.",표준국어대사전,속담
가래장부는 본고을 좌수도 몰라본다,[같은 속담] 가래장부는 동네 존위도 모른다.,표준국어대사전,속담
가래줄은 남의 줄이 끊어져야 좋다,가래질할 때 제가 잡은 줄이 끊어지면 자기는 그것을 고치느라고 수고를 해야 하지만 남의 줄이 끊어지면 남이 그것을 고치는 사이에 자기는 쉬게 되니 좋다는 말.,우리말샘,속담
가래질도 세 사람이 한마음이 되여야 한다,"세 사람이 하는 가래질도 서로 마음이 맞아야 잘된다는 뜻으로, 무슨 일이나 그것을 하는 사람들이 서로 단합하여야 성과를 낸다는 말.",우리말샘,속담
가려운 곳을 긁어 주듯,남에게 꼭 필요한 것을 잘 알아서 그 욕구를 시원스럽게 만족시켜 줌을 비유적으로 이르는 말.,표준국어대사전,관용구
가루 가지고 떡 못 만들랴,"가루만 있으면 누구나 떡을 만들 수 있다는 뜻으로, 누구나 다 할 수 있는 일을 자랑하며 뽐내는 것을 비웃는 말.",우리말샘,속담
가마 안의 팥이 풀어져도 그 안에 있다,손해를 본 것 같지만 따지고 보면 손해를 본 것이 없음을 비유적으로 이르는 말.,표준국어대사전,속담
가마가 검기로 밥도 검을까,"가마가 검다고 하여 가마 안의 밥까지 검겠느냐는 뜻으로, 겉이 좋지 않다고 하여 속도 좋지 않을 것이라고 경솔하게 판단하지 말라는 말.",표준국어대사전,속담
가마솥 밑이 노구솥 밑을 검다 한다,"더 시꺼먼 가마솥 밑이 덜 시꺼먼 노구솥 밑을 보고 도리어 검다고 흉본다는 뜻으로, 남 못지않은 잘못이나 결함이 있는 사람이 제 흉은 모르고 남의 잘못이나 결함만을 흉봄을 비유적으로 이르는 말.",표준국어대사전,속담
가문 날에 빗방울 안 떨어지는 날이 없다,가뭄이 계속되면서 비는 시원히 오지 않고 몇 방울 떨어지기만 한다는 말.,우리말샘,속담
가문 덕에 대접받는다,"변변치 못한 사람이 좋은 가문에서 태어난 덕분에 좋은 대우를 받는다는 뜻으로, 환경이나 조건이 좋아 덕을 본다는 것을 비유적으로 이르는 말.",고려대 한국어대사전,속담
가물때 벗다,가뭄으로 입었던 재해가 사라지다.,표준국어대사전,관용구
가물에 돌〔도랑〕친다,일이 기울어진 다음에 부랴부랴 서둘지 말고 미리 대책을 세워 두어야 함을 이르는 말.,고려대 한국어대사전,속담
가물에 콩 나듯,"가뭄에는 심은 콩이 제대로 싹이 트지 못하여 드문드문 난다는 뜻으로, 어떤 일이나 물건이 어쩌다 하나씩 드문드문 있는 경우를 비유적으로 이르는 말.",표준국어대사전,속담
가빈에 효자출이라,"집안이 가난하게 되면 효자가 나온다는 뜻으로, 어렵고 힘겨울 때 비로소 성실한 사람이 드러난다는 말.",고려대 한국어대사전,속담
가살 빼다,거만하게 가살스러운 태도를 짓다.,우리말샘,관용구
가슴 불타다,마음속에 어떤 열의나 열정이 끓어 번지다.,우리말샘,관용구
가슴 앓다,안달하여 마음의 고통을 느끼다.,표준국어대사전,관용구
가슴 열다,(사람이) 솔직하고 개방적인 태도를 취하다.,고려대 한국어대사전,관용구
가슴에 못이 박히다,(사람이) 상처나 아픔이 마음에 남다.,고려대 한국어대사전,관용구
가슴에 피멍 들다,‘가슴에 멍이 들다[지다]’를 강조하여 이르는 말.,표준국어대사전,관용구
가슴이 한 줌만 하다,‘가슴이 콩알만 하다[해지다]’의 북한 관용구.,표준국어대사전,관용구
가시 돋은 꽃이 더 곱다,그저 순하고 얌전하기만 한 여자보다도 성미가 만만찮은 여자가 더 좋게 느껴짐을 비유적으로 이르는 말.,표준국어대사전,속담
가시 먹은 것 같다,남에게서 받거나 얻어먹은 것이 마음에 걸려 꺼림칙하다.,표준국어대사전,관용구
가시 무서워 장 못 담그랴,다소 방해되는 것이 있다 하더라도 마땅히 할 일은 하여야 함을 비유적으로 이르는 말.,표준국어대사전,속담
